"model","Batch","top_k","l2_coef","l2der_coef","update_no","batch_index","top_vars","drift_triggered_by","accuracy"
"linear",30,3,1,1,3,3,"feature_4;feature_2;feature_1","feature_1",2.70960339003505
"linear",30,3,1,1,4,4,"feature_4;feature_2;feature_1","feature_4;feature_2",2.63282201950232
"linear",30,3,1,1,5,6,"feature_4;feature_2;feature_1","feature_4",2.77831259705681
"linear",30,3,1,1,6,7,"feature_4;feature_2;feature_1","feature_4",2.60163550587064
"linear",30,3,1,1,7,8,"feature_4;feature_2;feature_1","feature_4;feature_2",2.60892405294957
"linear",30,3,1,1,8,9,"feature_4;feature_2;feature_1","feature_4;feature_2",2.67467003912078
"linear",30,3,1,1,9,11,"feature_4;feature_2;feature_1","feature_4;feature_2",2.41466418505101
"linear",30,3,1,1,10,12,"feature_4;feature_2;feature_1","feature_4;feature_1",2.71618162163271
"linear",30,3,1,1,11,13,"feature_4;feature_2;feature_1","feature_4;feature_2",2.63328504959212
"linear",30,3,1,1,12,14,"feature_4;feature_2;feature_1","feature_4;feature_2",2.67832693667998
"linear",30,3,1,1,13,15,"feature_4;feature_2;feature_1","feature_4;feature_2",2.80050936941846
"linear",30,3,1,1,14,16,"feature_4;feature_2;feature_1","feature_4;feature_2",2.48559642250569
"linear",30,3,1,1,15,17,"feature_4;feature_2;feature_1","feature_2",2.86469304854041
"linear",30,3,1,1,16,18,"feature_4;feature_2;feature_1","feature_2;feature_1",2.65849027796803
"linear",30,3,1,1,17,19,"feature_4;feature_2;feature_1","feature_4;feature_2;feature_1",2.60811584535694
"linear",30,3,1,1,18,20,"feature_4;feature_2;feature_1","feature_2",2.51800666702679
"linear",30,3,1,1,19,21,"feature_4;feature_2;feature_1","feature_4;feature_1",2.57475043355079
"linear",30,3,1,1,20,22,"feature_4;feature_2;feature_1","feature_2;feature_1",2.5046954624422
"linear",30,3,1,1,21,23,"feature_4;feature_2;feature_1","feature_4;feature_2;feature_1",2.661558023378
"linear",30,3,1,1,22,24,"feature_4;feature_2;feature_1","feature_4;feature_2;feature_1",2.52929414072122
"linear",30,3,1,1,23,25,"feature_4;feature_2;feature_1","feature_4;feature_1",2.53802685332908
"linear",30,3,1,1,24,26,"feature_4;feature_2;feature_1","feature_4;feature_2;feature_1",3.37305908532664
"linear",30,3,1,1,25,27,"feature_4;feature_1;feature_2","feature_1",4.49934967811038
"linear",30,3,1,1,26,28,"feature_4;feature_1;feature_2","feature_4;feature_1;feature_2",4.42080583728489
"linear",30,3,1,1,27,29,"feature_4;feature_1;feature_2","feature_4;feature_1;feature_2",3.00411101117733
"linear",30,3,1,1,28,30,"feature_4;feature_1;feature_2","feature_4;feature_1;feature_2",2.57772468874008
"tree",30,1,1,1,0,0,"feature_4",NA,3.04004783732586
"tree",30,1,1,1,1,4,"feature_4","feature_4",3.10980560425865
"tree",30,1,1,1,2,5,"feature_4","feature_4",3.03624982771685
"tree",30,1,1,1,3,11,"feature_4","feature_4",2.94452269117815
"tree",30,1,1,1,4,12,"feature_4","feature_4",3.1315102154569
"tree",30,1,1,1,5,24,"feature_4","feature_4",3.30864724456703
"tree",30,1,1,1,6,25,"feature_4","feature_4",3.07823285100228
"tree",30,1,1,1,7,28,"feature_4","feature_4",5.05772454663296
"tree",30,1,1,1,8,29,"feature_4","feature_4",3.64253796813629
"tree",30,2,1,1,0,0,"feature_4;feature_2",NA,3.04004783732586
"tree",30,2,1,1,1,4,"feature_4;feature_1","feature_4",3.10980560425865
"tree",30,2,1,1,2,5,"feature_4;feature_2","feature_4",3.03624982771685
"tree",30,2,1,1,3,6,"feature_4;feature_2","feature_2",3.12259514075814
"tree",30,2,1,1,4,7,"feature_4;feature_2","feature_4;feature_2",3.01566639488892
"tree",30,2,1,1,5,8,"feature_4;feature_2","feature_2",3.12447030704064
"tree",30,2,1,1,6,9,"feature_4;feature_2","feature_4",3.12007645449348
"tree",30,2,1,1,7,10,"feature_4;feature_2","feature_4;feature_2",3.00288619557526
"tree",30,2,1,1,8,13,"feature_4;feature_2","feature_4",2.91585449482416
"tree",30,2,1,1,9,16,"feature_4;feature_2","feature_2",2.95239166925448
"tree",30,2,1,1,10,17,"feature_4;feature_2","feature_2",3.11981501740861
"tree",30,2,1,1,11,18,"feature_4;feature_2","feature_4;feature_2",3.21159435157571
"tree",30,2,1,1,12,20,"feature_4;feature_2","feature_2",3.06979060480853
"tree",30,2,1,1,13,21,"feature_4;feature_2","feature_2",3.21770001413629
"tree",30,2,1,1,14,22,"feature_4;feature_2","feature_2",3.0186007227042
"tree",30,2,1,1,15,23,"feature_4;feature_2","feature_4;feature_2",3.1760297638644
"tree",30,2,1,1,16,26,"feature_4;feature_2","feature_4",3.77761949538741
"tree",30,2,1,1,17,27,"feature_4;feature_1","feature_2",4.91236026289558
"tree",30,2,1,1,18,28,"feature_4;feature_1","feature_1",4.71377357682414
"tree",30,2,1,1,19,29,"feature_4;feature_1","feature_4",3.58112514462359
"tree",30,2,1,1,20,30,"feature_4;feature_1","feature_4;feature_1",3.16628502830338
"tree",30,3,1,1,0,0,"feature_4;feature_2;feature_1",NA,3.04004783732586
"tree",30,3,1,1,1,1,"feature_4;feature_2;feature_1","feature_1",3.14930213880758
"tree",30,3,1,1,2,2,"feature_4;feature_2;feature_1","feature_2;feature_1",3.14104118629343
"tree",30,3,1,1,3,3,"feature_4;feature_2;feature_1","feature_2",3.04293531308602
"tree",30,3,1,1,4,4,"feature_4;feature_2;feature_1","feature_1",3.06850575462093
"tree",30,3,1,1,5,5,"feature_4;feature_2;feature_1","feature_2;feature_1",2.97219864042405
"tree",30,3,1,1,6,7,"feature_4;feature_2;feature_1","feature_2",3.00900021326531
"tree",30,3,1,1,7,8,"feature_4;feature_2;feature_1","feature_2;feature_1",3.14780155065256
"tree",30,3,1,1,8,9,"feature_4;feature_2;feature_1","feature_4",3.04437622575932
"tree",30,3,1,1,9,11,"feature_4;feature_2;feature_1","feature_2",3.07064645293545
"tree",30,3,1,1,10,13,"feature_4;feature_2;feature_1","feature_1",3.03239654409916
"tree",30,3,1,1,11,14,"feature_4;feature_2;feature_1","feature_2;feature_1",3.17085088416483
